rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
"Executive Suite, Sea View (Posh Club)",suite,executive,private bathroom,,,not club,,no balcony,sea view,
Deluxe deluxe room city view City,room,deluxe,private bathroom,,,not club,,no balcony,city view,
"Premium Double Room, Bathtub, Corner (1 King Bed)",room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Family Suite, Partial Sea View (1 King Bed and 2 Large Twin Beds)",suite,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,
One Bedroom Suite One Bedroom Suite with Lounge Access,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Grand Twin/Double room - Grand,room,grand,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Luxury Room, 3 Twin Beds (3 Twin Beds)",room,luxury,private bathroom,,triple,not club,,no balcony,,
"Deluxe Room, 1 King Bed, Ocean View (1 King Bed)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
Deluxe Convenient Central Garden Access Deluxe Convenient Central Garden Access Non-Refundable (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1-room studio apartment twin (Annex Building),studio,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Deluxe Deluxe Room King,room,deluxe,private bathroom,,,not club,,no balcony,,
"Premium Quadruple Room, 1 Bedroom, City View (2 Queen Beds)",room,premium,private bathroom,,quadruple,not club,1 bedroom,no balcony,city view,
Apartment 1 bedroom Half Board,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Standard room double (Executive Floor),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Apartments Non refundable rate without breakfast (Only for RF citizens),apartment,superior,private bathroom,,,not club,,no balcony,,
Standard Park Lane King,room,standard,private bathroom,,,not club,,no balcony,,
King Deluxe,room,deluxe,private bathroom,,,not club,,no balcony,,
Family suite 2 bedrooms Family suite 2 bedrooms,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Suite Marmara Suite-,suite,,private bathroom,,,not club,,no balcony,,
Premium Premium Deluxe King,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Twin Room with 20% discount on FandB Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Family FAMILY ROOM DELUXE SEA VIEW Sea,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
"Signature Suite, 1 King Bed, Jetted Tub, Sea View",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Executive Suite Non smoking non-smoking,suite,executive,private bathroom,,,not club,,no balcony,,
Suite - De Luxe - Sea View Suite - De Luxe - Sea View sea,suite,deluxe,private bathroom,,,not club,,no balcony,sea view,
Standard standard double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Room (1 Double Bed and 1 Double Sofa Bed),room,standard,private bathroom,,double,not club,,no balcony,,
"Standard Room, 1 King Bed, Accessible (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Room - Sea View,room,superior,private bathroom,,,not club,,no balcony,sea view,
Garden-view Double Room (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Superior SUPERIOR SEA VIEW ROOM Sea,room,superior,private bathroom,,,not club,,no balcony,sea view,
Junior Suite Grande,junior-suite,grand,private bathroom,,,not club,,no balcony,,
"2 Single Beds, Non-Smoking, Standard Room, Work Desk",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
comfort for 4 people,room,comfort,private bathroom,,,not club,,no balcony,,
dormBed in 12-bed dormitory   in block,dorm,,shared bathroom,,,not club,,no balcony,,
Standard room Violet twin,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Skyline View Room,room,standard,private bathroom,,,not club,,no balcony,with view,
Royal Suite (1 Double Bed and 1 Double Sofa Bed),suite,royal,private bathroom,,double,not club,,no balcony,,
Family Suite Connecting Rooms,suite,,private bathroom,,,not club,,no balcony,,
Seaview Deluxe Terrace Twin/Double room - De Luxe - Sea View - Terrace (1 Double or 2 Single),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"Double Room, Sea View (2 Twin Beds)",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
Triple Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Standard room,room,standard,private bathroom,,,not club,,no balcony,,
Communicating Rooms (1 Double Bed and 3 Twin Beds),room,standard,private bathroom,,triple,not club,,no balcony,,
"Superior 2 Single Beds,Room Only",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Superior Studio (1 Queen Bed),studio,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Double Room with Balcony Classic Double Room with Balcony Non-Refundable (1 Double or 1 Twin),room,classic,private bathroom,double/double-or-twin,double,not club,,balcony,,
Suite - Duplex - Terrace - Sea View Suite - Duplex - Terrace - Sea View sea,suite,,private bathroom,,,not club,,no balcony,sea view,duplex floor
One Bedroom Suite - King Room Only,suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Exclusive Suite Room,suite,executive,private bathroom,,,not club,,no balcony,,
Standard superior room,room,superior,private bathroom,,,not club,,no balcony,,
LUXURY FRONT SEA VIEW ROOM Full Board,room,luxury,private bathroom,,,not club,,no balcony,sea front,
"Studio Studio, Kitchenette, 1 King Bed",studio,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Room (1 Twin Bed),room,standard,private bathroom,single bed,single,not club,,no balcony,,
Classic Queen Room Room Only,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Suite (1 King Bed),suite,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio Double bed Twin beds,studio,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Private 4-Bed Room Shared Bathroom (Shared bathroom),room,standard,shared bathroom,,,not club,,no balcony,,
"Panoramic Suite with Terrace Suite, Terrace (Panoramic) (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Room (1 Queen Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Loft Great View,apartment,,private bathroom,,,not club,,no balcony,,
Grand Townhouse Grand,cottage,grand,private bathroom,,,not club,,no balcony,,
Standard Garden View Room with Balcony - Twin Beds Garden,room,standard,private bathroom,twin/twin-or-double,double,not club,,balcony,garden view,
Standard Double or Twin,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Comfort superior room  (Main Building),room,superior,private bathroom,,,not club,,no balcony,,
Deluxe Ocean View King,room,deluxe,private bathroom,,,not club,,no balcony,ocean view,
2 Single Beds Standard Smoking Breakfast,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
ONE BEDROOM BEACH POOL VILLA,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Duplex Room with Pool View duplex pool view (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,duplex floor
deluxe creek view room twin Half Board,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,water view,
2-room studio quadruple apartment with 1 double bed double,studio,,private bathroom,double/double-or-twin,quadruple,not club,2 bedrooms,no balcony,,
Standard Twin Room,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Three-Bedroom Family Residence,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
6-person,dorm,,shared bathroom,,,not club,,no balcony,,
King Great View,room,standard,private bathroom,,,not club,,no balcony,,
Accessible Room Accessible Room,room,standard,private bathroom,,,not club,,no balcony,,
SUITE DELUXE,suite,deluxe,private bathroom,,,not club,,no balcony,,
One Bedroom Suite ONE BEDROOM SUITE BURJ KHALIFA/FOUNTAIN VIEW Fountain,suite,,private bathroom,,,not club,1 bedroom,no balcony,water view,
Single room - De Luxe - Bosphorus view Single room - De Luxe - Bosphorus view,room,deluxe,private bathroom,,single,not club,,no balcony,bosphorus view,
Standard room double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Double Room, Non Smoking - 20% Discount on F&B",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Large Twin Room Twin Large Room (1 Twin),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Ocean View Pool Villa King,villa,,private bathroom,,,not club,,no balcony,ocean view,
"Apartment, 1 bedroom, pet friendly (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Junior Suite Junior Family Suite with Sea View Sea,junior-suite,,private bathroom,,,not club,,no balcony,sea view,
1-room studio apartment double,studio,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Family Room (2 Queen Beds),room,standard,private bathroom,,quadruple,not club,,no balcony,,
Superior room with bay view double,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,bay view,
Twin/Double room - Deluxe (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
2 TWIN CLUB ACCESS WITH BALCONY 2 TWIN CLUB ACCESS WITH BALCONY,room,standard,private bathroom,twin/twin-or-double,double,club,,balcony,,
Corner King Sea View(FIT Wholesale Rate - 2),room,standard,private bathroom,,,not club,,no balcony,sea view,
Triple room - Superior Triple room - Superior,room,superior,private bathroom,,triple,not club,,no balcony,,
Grand Suite king grand canal suite,suite,grand,private bathroom,,,not club,,no balcony,,
Superior Superior Double,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Suite Executive Suite-,suite,executive,private bathroom,,,not club,,no balcony,,
Standard ALOFT SEA VIEW KING ROOM DOUBLE Sea,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"Room, 1 King Bed, Accessible (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Twin Room,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Deluxe Room, 2 Queen Beds, Sea View (2 Double)",room,deluxe,private bathroom,,quadruple,not club,,no balcony,sea view,
Premium Room with Partial Sea View and Balcony Room Only,room,premium,private bathroom,,,not club,,balcony,partial-sea view,
Superior Room Double(1 Amount) Open-Close(1 Amount) Sofa Bed / Sofa(1 Amount),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin/Double room - King Twin/Double room - King,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Sea View Suite with Balcony Executive Sea View Suite with Balcony,suite,executive,private bathroom,,,not club,,balcony,sea view,
Club CLUB ROOM,room,standard,private bathroom,,,club,,no balcony,,
Standard room Japan double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Royal Double Room,room,royal,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Room Double Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Twin room - De Luxe - Hollywood Hollywood,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite (De La Ville) (1 King Bed),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio Apartment,studio,,private bathroom,,,not club,,no balcony,,
One Bedroom Suite ONE BEDROOM SUITE POOL ACCESS Pool,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Classic Double Room non-smoking,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Garden Room Accessible ADA,room,standard,private bathroom,,,not club,,no balcony,,
Villa Plunge Pool Villa,villa,,private bathroom,,,not club,,no balcony,,
Classic Sea View Room/King Bed/42sqm/AC Bathtub/LCD TV/Internet/Minibar Breakfast,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"Fairmont Gold, Suite, Multiple Beds, Non Smoking (1 King Bed and 2 Twin Beds)",suite,,private bathroom,,quadruple,not club,,no balcony,,
Private 8 bed Room - Ensuite (1 Double or 1 Twin),room,standard,private bathroom,,,not club,,no balcony,,
2 Twin Classic Oceanfront : Bed and Breakfast for 2,room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,ocean front,
EMIRI SUITE Half Board,suite,,private bathroom,,,not club,,no balcony,,
Standard Suite SUITE STANDARD,suite,standard,private bathroom,,,not club,,no balcony,,
"Apartment, 1 Bedroom (Privilege) (2 Twin Beds and 1 Double Sofa Bed)",apartment,privilege,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
"One Bedroom Beach Suite One Bedroom Suite with Partial Marina View and Soluna Beach Club Acces, 1 King Bed Marina",suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,partial view,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Room With City View,room,deluxe,private bathroom,,,not club,,no balcony,city view,
2 Twin Beds 2 Twin Beds,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"King room, 1 king bed",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Resort Suite One bedroom Resort view suite with terrace or balcony,suite,,private bathroom,,,not club,1 bedroom,balcony,with view,
"standard room, 1 double bed - Room Only",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Twin room - Superior - Side Sea View Twin room - Superior - Side Sea View sea,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,
Royal ROYAL BANYAN OCEAN POOL VILLA,villa,royal,private bathroom,,,not club,,no balcony,,
Triple Standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Double Room (Extra bed) (1 Twin Bed),room,standard,private bathroom,multiple,single,not club,,no balcony,,
"Superior Studio, 1 Double Bed, Balcony (1 Double Bed)",studio,superior,private bathroom,double/double-or-twin,double,not club,,balcony,,
"Queen 1 Queen Bed, Non-Smoking",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
2-room apartment standard with 2 single and 2 double beds double,apartment,standard,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,no balcony,,
Club CLUB ROOM CITY VIEW City,room,standard,private bathroom,,,club,,no balcony,city view,
EXECUTIVE SUITE WITH BALCONY Breakfast,suite,executive,private bathroom,,,not club,,balcony,,
Standard Room 2 Queen bed non-smoking,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Superior Twin/Double room - Superior - Sea View Sea,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Double or Twin Room with Sea View,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
STANDARD 2 (2AD),room,standard,private bathroom,,,not club,,no balcony,,
Standard STANDARD TWIN ROOM,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Alexandre,room,standard,private bathroom,,,not club,,no balcony,,
Standard Triple Room (1 Double Bed and 1 Twin Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Economy Economy (No Window),room,economy,private bathroom,,,not club,,no balcony,,
Standard Double or Twin Room (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin/Double room - King - Signature Twin/Double room - King - Signature various,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
SEAVIEW DOUBLE Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Accessible Studio,studio,,private bathroom,,,not club,,no balcony,,
Villa 4 bedrooms - Royal - Private pool - Sea view Breakfast,villa,royal,private bathroom,,,not club,4 bedrooms,no balcony,sea view,
Green Park Suite,suite,,private bathroom,,,not club,,no balcony,,
Double room King bed - De Luxe - Sofa bed Double room King bed - De Luxe - Sofa bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Room,room,classic,private bathroom,,,not club,,no balcony,,
"Suite, 5 Bedrooms",suite,,private bathroom,,,not club,5 bedrooms,no balcony,,
Suite premium room with 1 double bed (attic) double,suite,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Studio room twin,studio,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Duplex Twin Villa with Plunge Pool,villa,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,duplex floor
Apartment Double Room-Non-Smoking,apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Standard Triple Creek View with Balcony Free Beach Transfer,25% off Food & Beverage",room,standard,private bathroom,,triple,not club,,balcony,water view,
"Room, 1 King Bed with Sofa bed, Accessible (Shower)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite Basic with breakfast,suite,,private bathroom,,,not club,,no balcony,,
Standard business double or twin room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Villa - King - Superior - Garden view Villa - King - Superior - Garden view garden,villa,superior,private bathroom,,,not club,,no balcony,garden view,
Deluxe Terrace Garden Access (Deposit required) (1 Double Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double or Twin Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Villa Villa - Deluxe (1 Double or 1 Twin),villa,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Apartment Suite,suite,,private bathroom,,,not club,,no balcony,,
"MELIA ROOM Melia Room, Room (1 Double or 1 Twin)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium Deluxe Ocean View - King BB - Long Stay,room,deluxe,private bathroom,,,not club,,no balcony,ocean view,
"Deluxe Room, 1 Bedroom, Sea View (1 Queen Bed)",room,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,sea view,
"Standard Double Room, Non Smoking",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Room (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Ronda,room,standard,private bathroom,,,not club,,no balcony,,
Superior Double or Twin SUPERIOR,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Double or Twin Room, 2 Twin Beds",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premier Premier Sea View - NRF Sea,room,premier,private bathroom,,,not club,,no balcony,sea view,
Deluxe Triple DELUXE TRIPLE,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Family suite Full Board,suite,,private bathroom,,,not club,,no balcony,,
Superior Room with 2 Twin Beds Breakfast,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Twin Room Room Only,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Beach Sunrise Villa Private Pool-50% off on transfers till 30 Sep'24 on FB & AI for 4 Nights & above (1 King Bed),villa,,private bathroom,double/double-or-twin,double,not club,,no balcony,sunrise view,
